Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Holy See,163,252,264,245,223,260,294,165,85,160
Honduras,"155,310","173,601","181,185","216,870","210,580","206,411","235,944","103,527","184,311","235,179"
Hong Kong,"139,517","134,863","137,834","144,509","118,821","136,870","164,497","59,025","11,472","34,654"
Hungary,"73,351","80,696","77,184","85,744","97,709","102,992","113,010","48,940","5,926","59,167"
Iceland,"53,174","54,708","50,441","56,061","66,917","75,119","70,391","28,658","2,048","38,130"
India,"1,248,218","1,551,246","1,721,136","1,804,541","1,707,616","1,779,540","2,029,505","919,790","472,431","1,510,184"
Indonesia,"113,197","125,291","131,267","127,358","118,813","119,070","145,947","66,042","32,378","101,078"
Iran,"19,391","27,121","28,750","26,665","16,842","7,280","5,275","2,341","2,845","8,364"
Iraq,"14,256","20,207","17,649","17,603","15,792","13,374","15,331","7,357","1,274","3,817"
Ireland,"434,252","456,504","435,243","457,146","525,432","585,639","580,687","246,654","13,503","351,513"
Isle of Man,NA,64,113,106,109,149,255,75,21,91
Israel,"371,861","398,749","456,280","459,894","370,568","402,424","471,281","211,934","169,471","362,768"
Italy,"1,022,589","1,141,375","1,004,639","1,078,607","1,205,769","1,271,286","1,236,518","460,876","67,252","659,255"
Jamaica,"221,675","254,424","292,531","336,565","257,643","256,376","355,562","153,335","155,936","228,789"
Japan,"4,195,305","4,079,845","3,745,480","3,796,038","3,795,307","3,756,648","3,859,454","1,709,909","121,079","453,422"
Jersey,NA,D,75,59,77,79,104,61,D,70
Jordan,"30,099","37,518","45,298","46,135","40,210","39,155","43,351","17,660","16,594","25,636"
Kazakhstan,"21,241","24,658","27,806","25,399","23,489","24,596","31,361","13,628","11,671","22,844"
Kenya,"20,159","25,879","27,541","29,807","27,724","30,156","40,201","16,658","12,356","21,185"
